sentence,mdd,t_depth,summarizing,bigrams,words,letters,word_avg,numbers,symbols,if_question,punctuation,sym_hashtag,sym_shtrudel,sym_dollar,sym_ampersand,sym_percend,sym_star,sym_tilda,sym_math,sym_logic,sym_brackets,sym_num,sym_quotes,sym_slashes,NN,VB,JJ,PREPOSITION,DEF,CONJ,BN,NNP,NNT,TEMP,RB,CC,AT,QW,REL,PRP,IN,DTT,DT,MD,stopwords
אופיר התקרב לעידן.,3.0,5,0,2,3,15,5.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"וגיא שאל: 
""היא טרקה לך את הטלפון בפרצוף בגלל שהנושא לא מעניין אותה?""",12.11,22,0,12,13,52,4.0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,8,2,0,2,6,2,2,0,0,0,2,0,4,0,4,2,6,0,0,0,3
"עידן מלמל (דיבר בשקט):
""היא אמרה שיש לה אחות עם צרכים מיוחדים, ילדה נהדרת שהיא אוהבת מאוד ושגרה איתה באותו החדר.",13.23,29,0,20,21,86,4.095,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2,4,4,2,2,4,6,0,0,2,0,0,0,6,2,6,2,0,0,3
"היא אמרה שזה כל מה שיש לה להגיד בעניין הזה, וסגרה את הטלפון"".",9.78,18,0,12,13,46,3.538,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,0,2,6,2,0,0,0,0,0,0,2,2,4,6,2,2,0,0,5
"בערב, ארז ואימא רבו.",4.17,7,0,3,4,15,3.75,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אימא כעסה על ארז.,2.33,3,0,3,4,13,3.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"אימא צעקה: ""אתה לא תלמיד טוב!""",4.2,5,0,5,6,21,3.5,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,1
"אימא צעקה: ""אתה לא עוזר בבית!""",5.0,8,0,5,6,21,3.5,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,2,0,2,0,2,0,2,0,0,0,0,2,0,0,0,0,1
"אימא צעקה: ""תלך לעבוד!""",2.33,3,0,3,4,16,4.0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ארז היה עצבני.,2.0,2,0,2,3,11,3.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
לארז לא נעים כשאימא צועקת.,4.71,8,0,4,5,21,4.2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,2,0,0,6,2,0,0,0,0,0,0,0,0,0,1
"ארז החליט לצאת מהבית ולנסוע לחברה שלו, אורית.",6.83,12,0,7,8,36,4.5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,4,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ארז נסע על הטוּסטוּס (אופנוע) לבית של אורית.,4.56,9,0,7,10,32,3.2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,4,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2
ארז סיפר לאורית את כל מה שאימא אמרה.,4.75,10,0,7,8,28,3.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,0,0,4,0,0,0,0,2,2,2,0,0,2,0,0,3
ארז היה עצוב.,2.0,2,0,2,3,10,3.333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ארז הרגיש לא טוב.,2.5,5,0,3,4,13,3.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
ארז בכה.,2.0,2,0,1,2,6,3.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ארז שאל את אורית: ""כדאי לחזור הביתה?""",3.83,6,0,6,7,27,3.857,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,2,1
"אורית ענתה: ""בטח.",3.0,5,0,2,3,12,4.0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"אימא כועסת, אבל מאוד אוהבת אותך.",4.67,6,0,5,6,25,4.167,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,2,2,0,0,0,0,0,0,0,1
"תחזור הביתה ותדבר עם אימא"".",3.2,5,0,4,5,21,4.2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1
ארז לא רצה לחזור הביתה.,3.25,4,0,4,5,18,3.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1
ארז רצה ללכת לנסוע על הטוּסטוּס.,4.5,9,0,5,8,24,3.0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"אורית אמרה: ""ארז, תישאר עוד קצת.",3.2,6,0,5,6,23,3.833,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0
"אכין לך קפה, אתן לך מים קרים.",3.0,8,0,6,7,21,3.0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,0,0,1
תנוח קצת במיטה.,2.5,5,0,2,3,12,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"אתה לא יכול לנסוע על הטוּסטוּס שלך, כי אתה עצבני וזה מסוכן.",7.69,15,0,11,14,44,3.143,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,2,2,0,0,0,0,2,2,0,0,0,6,4,0,0,2,6
"יכולה לקרות תאונה"".",1.5,2,0,2,3,15,5.0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"אבל, ארז לא רצה להישאר בבית של אורית.",5.38,8,0,7,8,28,3.5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,2,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,2
כבר לילה.,2.0,2,0,1,2,7,3.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ארז יצא מהבית של אורית.,3.83,6,0,4,5,18,3.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
ארז חבש קַסדָה (כובע חזק) ועלה על הטוּסטוּס שלו.,5.7,10,0,8,13,33,2.538,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1
ארז נסע מהר בכביש ופתאום התנגש בעמוד חשמל.,6.36,12,0,7,8,34,4.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,4,4,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0
ארז נפצע קשה.,2.0,2,0,2,3,10,3.333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
אַמְבּוּלַנְס הגיע ולקח את ארז לבית החולים.,4.75,10,0,6,13,30,2.308,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,1
אימא ואורית באו לראות את ארז בבית החולים.,4.62,10,0,7,8,33,4.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,2,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,1
"ארז שכב במיטה בלי לזוז, הוא היה בלי הַכָּרָה (ישן חזק מאוד).",5.83,11,0,11,15,41,2.733,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,2,0,0,2,0,0,2,0,0,0,0,2,4,0,0,0,4
על הגוף של ארז היו תחבושות.,3.83,6,0,5,6,21,3.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2
גם שוטר הגיע לבקר את ארז.,4.0,7,0,5,6,19,3.167,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2
"השוטר חשב: 
האם ארז עשה תאוּנה?",4.0,6,0,5,7,22,3.143,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"אם זו תאוּנה, רק במקרה ארז התנגש בעמוד.",5.56,11,0,7,9,29,3.222,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,2,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,2
זו הייתה טעות.,3.0,3,0,2,3,11,3.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"או 
האם ארז רצה להתאַבֵּד (למוּת)?",4.43,8,0,5,9,21,2.333,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,1
"אם זו התאַבְּדוּת, ארז רצה להתנגש בעמוד.",4.75,9,0,6,10,28,2.8,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,2,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1
ארז רצה למוּת.,2.0,2,0,2,4,10,2.5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"השוטר שאל את אימא ואת אורית: ""מה קרה לארז?""",6.55,13,0,8,9,31,3.444,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,8,2,0,2,4,2,0,2,0,0,0,0,4,2,0,0,0,0,0,0,2
"אימא אמרה: ""אני לא יודעת, לא הייתי איתו על הטוּסטוּס"".",5.9,12,0,9,12,38,3.167,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,2,0,2,0,4,0,0,0,0,2,4,0,0,0,4
"אורית אמרה: ""אני לא יודעת, לא הייתי איתו על הטוּסטוּס"".",5.8,12,0,9,12,39,3.25,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,2,2,0,0,4,0,0,0,0,2,4,0,0,0,4
"השוטר אמר:
""כשארז יתעורר הוא יספר לנו מה קרה.",5.12,10,0,8,9,34,3.778,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,0,2,0,0,2,0,0,0,0,0,2,0,2,2,0,0,0,3
למה הוא התנגש בעמוד חשמל.,3.67,6,0,4,5,20,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2
"בינתיים, אני הולך.",3.0,3,0,2,3,14,4.667,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,1
"אורית, בואי אקח אותך הביתה"".",2.8,4,0,4,5,21,4.2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,1
אורית והשוטר יצאו מבית החולים.,5.0,9,0,4,5,25,5.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"השוטר שאל את אורית: ""את חושבת שארז רצה להתאַבֵּד?""",5.0,9,0,8,11,35,3.182,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,0,0,2,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,1
"אורית אמרה: ""מה פתאום!",2.67,4,0,3,4,16,4.0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0
ארז בחיים לא יעשה לעצמו משהו רע.,4.75,7,0,6,7,25,3.571,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,4,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1
"ארז אוהב לחיות"".",2.0,2,0,2,3,12,4.0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"השוטר שאל: ""אז למה הוא התנגש בעמוד חשמל?""",5.56,10,0,7,8,30,3.75,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,6,4,0,2,4,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,2
"אורית אמרה: ""זאת הייתה תאונה.",2.0,2,0,4,5,22,4.4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
תאונת דרכים.,1.0,1,0,1,2,10,5.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ארז היה עצבני כי רב עם אימא.,3.5,6,0,6,7,21,3.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3
"היו לו מחשבות רבות בראש והוא לא התרכז בָּנהיגה"".",7.31,15,0,8,10,36,3.6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,2,4,4,2,0,0,0,0,2,0,0,0,0,2,2,0,0,0,2
"אורית המשיכה ואמרה: ""אני לא אספר לאף אחד שאימא של ארז אשמה.",8.0,16,0,11,12,45,3.75,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,0,2,2,2,2,4,0,0,2,0,0,0,2,2,0,2,0,0,2
ארז סיפר לי בסוד שהוא רב עם אימא.,5.6,10,0,7,8,25,3.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,2,2,0,0,0,0,0,0,2,2,4,0,0,0,2
אני לא מגלה סודות.,3.0,3,0,3,4,14,3.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,2
"אני מקווה שארז יחזור להכרה (יתעורר) כמה שיותר מהר, ויחליט בעצמו מה הוא רוצה לספר... לא אכפת לי מה הוא יגיד, העיקר שיתעורר.",14.75,30,0,22,23,92,4.0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,4,4,2,4,2,0,0,8,0,0,4,6,8,2,2,0,0,7
"אם ארז יתעורר ויספר כמה שהוא אוהב את אמא שלו, הנהדרת, אני לא אגלה לאף אחד שזה לא נכון"".",13.41,25,0,18,19,65,3.421,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,4,2,2,2,2,0,0,0,4,4,2,0,4,6,0,2,0,0,5
נטע טיילה ברחוב ונעצרה מול חלון רַאֲוָה של חנות בגדים.,6.18,11,0,9,13,41,3.154,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,2,2,2,0,2,4,0,0,0,0,0,0,0,2,0,0,0,2
הרבה בני נוער היו בחנות ונטע לא הבינה למה.,6.2,11,0,8,9,33,3.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,2,2,0,2,0,2,0,0,2,0,0,0,2,0,0,1
הרי לא יכול להיות שמחלקים שם בגדים בחינם!,4.14,6,0,7,8,33,4.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,6,2,0,0,2,0,0,0,0,2,5
"נטע הצמידה את העיניים לחלון הראווה ופתאום הבחינה בז'קט 
(מעיל) שחור שתלוי על קולב.",8.94,17,0,13,15,64,4.267,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4,2,4,4,2,2,4,2,0,2,0,2,0,2,0,2,0,0,0,2
הז'קט נראה לה מאוד יפה והיא לא יכלה להפסיק להסתכל עליו.,6.5,12,0,10,12,43,3.583,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,2,0,2,0,0,6,0,0,0,0,2,4,0,0,0,3
נטע נכנסה לחנות.,2.0,2,0,2,3,13,4.333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
היא המתינה בצד עד שאחת המּוֹכְרוֹת סוף סוף התפנתה אליה.,7.15,13,0,9,14,41,2.929,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,4,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,2
"המוֹכֶרֶת נתנה לנטע למדוד את הז'קט, ונטע נכנסה לתא ההלבשה.",8.27,17,0,9,14,43,3.071,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,8,8,0,4,8,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1
"כשיצאה נטע מתא ההלבשה, לבושה בז'קט, היא נעמדה מול המראה 
והסתכלה.",7.86,15,0,10,12,50,4.167,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,8,6,0,4,2,2,2,0,2,6,0,0,0,0,0,2,2,0,0,0,2
היא לא היתה בטוחה שהז'קט נראה עליה טוב.,5.56,9,0,7,9,30,3.333,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,2,0,0,0,0,0,4,0,0,0,2,2,2,0,0,0,4
"נטע שאלה את המוֹכֶרֶת: ""הוא לא צמוד מדי?"".",5.14,8,0,7,11,27,2.455,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,2,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,2
"המוֹכֶרֶת, שֶלָּעֲסָה מסטיק, הזיזה את הראש בתנועה של ""לא"".",6.58,12,0,8,16,37,2.312,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,8,4,0,2,6,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,2
"נטע הצביעה על אזור החזה ואמרה: ""נראה לי שזה צמוד כאן"".",7.57,15,0,10,11,40,3.636,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,2,0,4,2,2,0,4,0,2,0,0,0,2,2,4,0,0,0,2
"המוֹכֶרֶת ענתה: ""אז מה אם הוא קצת צמוד?",5.12,9,0,7,11,26,2.364,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,0,0,0,0,0,4,2,0,2,0,2,0,0,0,0,3
"צמוד זה יפה, לא?""",3.0,3,0,3,4,11,2.75,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1
"נטע, לא היתה בטוחה ואמרה: ""אני לא יודעת אם זה מתאים לי"".",7.17,12,0,11,12,40,3.333,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,2,4,0,0,0,4,2,0,0,0,4,2,0,0,0,5
"המוכרת אמרה בצורה ברורה: ""מתאים מאוד"".",4.43,7,0,5,6,29,4.833,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"נטע הביטה במראה, זזה קצת ימינה, ואחר כך קצת שמאלה, בוחנת
את הז'קט טוב טוב.",9.8,17,0,14,16,55,3.438,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,2,2,2,2,6,0,0,8,0,0,0,0,2,2,0,0,0,2
"המוֹכֶרֶת המשיכה לשכנע את נטע: 
""אם את שואלת אותי, זה יושב עלייך מעולה, ואל תשכחי שהוא 
במכירת סוף עונה.",11.29,24,0,18,22,76,3.455,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,8,6,2,2,2,2,4,0,4,0,0,2,6,0,2,4,2,0,0,0,3
עולה רק מאתיים שקל.,3.0,4,0,3,4,15,3.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1
"איפה עוד תוכלי למצוא ז'קט מדליק במחיר כזה זול?""",5.7,11,0,8,10,36,3.6,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,4,2,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,2
"נטע סגרה את כפתורי הז'קט והסבירה: ""זה לא עניין של כסף, לא 
אכפת לי לשלם אפילו חמש מאות שקל על משהו שאני באמת
אוהבת, אבל  אני לא בטוחה שאני אוהבת את הז'קט הזה.",12.49,28,0,32,35,117,3.343,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,14,8,0,0,6,2,2,2,2,0,6,4,4,0,4,10,4,0,0,2,10
"חבל לי לקנות בגד שאני אביא הביתה ואשים בארון ולא אלבש יותר"".",10.18,19,0,11,12,47,3.917,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,0,4,4,4,0,0,0,0,6,0,0,0,2,2,2,0,0,2,1
"המוֹכֶרֶת שאלה: 
""למה שלא תלבשי?",5.0,9,0,4,8,21,2.625,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,2,4,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0
"ז'קט כזה מתאים למסיבה, לסרט, לכל מה שבא.",7.0,13,0,7,9,29,3.222,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,0,8,4,0,2,0,0,0,0,0,0,2,2,2,0,2,0,0,2
"הוא יהיה יפה מאוד בערב, ואפשר גם ללבוש אותו לבית הספר"".",8.07,17,0,10,11,42,3.818,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,2,4,4,2,0,0,2,0,4,0,2,0,0,2,0,0,0,2,4
"נטע לא היתה בטוחה אם הז'קט מכוער עליה, ולא היתה בטוחה
שהוא נהדר עליה.",8.69,15,0,13,15,53,3.533,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,4,2,2,2,2,0,0,0,4,2,0,0,0,0,4,0,0,0,4
נטע עדיין התלבטה.,3.0,3,0,2,3,14,4.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"המוֹכֶרֶת, שרצתה מאוד שנטע תקנה את הז'קט אמרה: 
""הוא מקסים, ואל תשכחי שהוא בּמִבְצָע וממש זול"".",11.1,23,0,15,24,65,2.708,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,8,10,2,0,4,4,2,0,0,0,4,0,2,0,6,4,0,0,0,0,1
"אבל נטע ידעה, שהמוֹכֶרֶת רק רוצה למכור את הז'קט, 
כי המנהל של החנות נותן פרס כספי למי שמוכר יותר בגדים.",12.67,24,0,19,24,76,3.167,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,12,4,2,2,8,0,8,0,0,0,4,4,2,2,4,0,0,0,0,0,6
"נטע ידעה, שאולי המוֹכֶרֶת משקרת רק כדי שהיא תקנה את הז'קט.",7.77,15,0,10,15,42,2.8,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,4,0,2,2,0,0,4,0,2,0,4,2,2,0,0,0,2
"המוֹכֶרֶת החזיקה ביד של נטע ואמרה לה: 
""את יודעת מה?",6.58,12,0,9,13,36,2.769,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,6,4,0,2,2,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,1
תשאלי את הבחור שעומד בפינה מה הוא חושב.,6.56,11,0,7,8,31,3.875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,4,0,0,0,0,0,2,2,2,2,0,0,0,0,3
"אולי הוא יעזור לך להחליט אם לקנות את הז'קט"".",5.33,11,0,8,10,33,3.3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,0,0,2,0,0,0,0,0,2,2,2,0,0,2,2,0,0,0,4
בפינה של החנות עמד בחור נאה.,4.88,8,0,5,6,22,3.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"נטע לא הכירה את הבחור ואמרה: 
""מה איתךְ?",5.67,10,0,7,8,28,3.5,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,2,2,0,2,0,0,2,0,2,2,0,0,2,0,0,0,2
"אני לא מכירה אותו, מה פתאום שאשאל אותו מה דעתו 
על הז'קט?"".",7.29,16,0,11,13,42,3.231,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,2,0,2,0,0,0,4,0,4,4,2,2,2,0,0,0,6
"המוֹכֶרֶת השיבה: ""מה יש אם תבקשי ממנו טובה?""",4.88,8,0,7,11,30,2.727,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,0,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,2,2
"נטע התביישה ואמרה: 
""אני לא רוצה לבקש טובה ממישהו שאני לא מכירה"".",7.62,15,0,11,12,49,4.083,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,0,2,0,2,4,2,0,0,4,0,0,0,2,6,0,0,0,0,2
"המוֹכֶרֶת צעדה לעבר הבחור , לחשה משהו באוזן שלו ופתאום 
הפרצוף שלו נעשה מופתע.",6.06,14,0,13,16,59,3.688,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,2,8,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3
